,created_by,created_at,closed_by,closed_at,labels,interactions,repository,type,size,merged_at,commits_number,referenced_issues,reviews,requested_reviewers
116,hemajv,1529941601,hemajv,1530111288.0,"['needs-rebase', 'size/S']","{'sesheta': 91, 'goern': 3}",thoth-station/core,PullRequest,S,,3.0,[],"{'131718336': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1529942199, 'state': 'COMMENTED'}, '131719206': {'author': 'hemajv', 'words_count': 1, 'submitted_at': 1529942333, 'state': 'COMMENTED'}, '132209327': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530040765, 'state': 'APPROVED'}, '132361619': {'author': 'goern', 'words_count': 5, 'submitted_at': 1530085964, 'state': 'CHANGES_REQUESTED'}}",[]
117,harshad16,1529600698,sesheta,1530040520.0,"['approved', 'size/M']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,M,1530040520.0,1.0,[],"{'132778781': {'author': 'durandom', 'words_count': 1, 'submitted_at': 1530173419, 'state': 'COMMENTED'}}","['goern', 'fridex']"
118,ace2107,1529414571,sesheta,1530717620.0,"['approved', 'size/L']","{'goern': 18, 'sesheta': 100, 'thoth-zuul[bot]': 36}",thoth-station/core,PullRequest,L,1530717620.0,3.0,[],"{'130041390': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1529416537, 'state': 'COMMENTED'}, '130057220': {'author': 'goern', 'words_count': 1, 'submitted_at': 1529418456, 'state': 'COMMENTED'}, '130091478': {'author': 'ace2107', 'words_count': 1, 'submitted_at': 1529423798, 'state': 'COMMENTED'}, '130112031': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1529427560, 'state': 'COMMENTED'}, '130152466': {'author': 'goern', 'words_count': 1, 'submitted_at': 1529433977, 'state': 'COMMENTED'}, '130154143': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1529434376, 'state': 'COMMENTED'}, '133170640': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530259744, 'state': 'COMMENTED'}, '133170733': {'author': 'goern', 'words_count': 1, 'submitted_at': 1530259761, 'state': 'COMMENTED'}, '133170962': {'author': 'goern', 'words_count': 17, 'submitted_at': 1530259817, 'state': 'CHANGES_REQUESTED'}}",[]
119,goern,1529402694,sesheta,1529403321.0,"['approved', 'size/L']","{'goern': 9, 'sesheta': 65}",thoth-station/core,PullRequest,L,1529403321.0,2.0,[],"{'129939068': {'author': 'fridex', 'words_count': 5, 'submitted_at': 1529403016, 'state': 'COMMENTED'}}",[]
120,goern,1528867440,goern,1541082498.0,"['do-not-merge/work-in-progress', 'size/L']",{'sesheta': 91},thoth-station/core,PullRequest,L,,8.0,[],{},['fridex']
121,harshad16,1528811481,sesheta,1528816814.0,"['approved', 'lgtm', 'size/S']",{'sesheta': 65},thoth-station/core,PullRequest,S,1528816813.0,1.0,[],"{'128059647': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1528815685, 'state': 'APPROVED'}, '128036949': {'author': 'goern', 'words_count': 1, 'submitted_at': 1528816810, 'state': 'APPROVED'}}",[]
122,goern,1528798325,goern,1530697122.0,"['do-not-merge/work-in-progress', 'size/L']",{'sesheta': 91},thoth-station/core,PullRequest,L,,2.0,[],{},['fridex']
123,goern,1528798186,sesheta,1528799108.0,"['approved', 'size/L']","{'goern': 1, 'sesheta': 65, 'fridex': 3}",thoth-station/core,PullRequest,L,1528799108.0,2.0,[],{},['fridex']
124,harshad16,1528715958,sesheta,1528724116.0,"['approved', 'lgtm', 'size/M']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,M,1528724116.0,1.0,[],"{'127601740': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1528721296, 'state': 'APPROVED'}}",['goern']
125,harshad16,1528482261,sesheta,1528784711.0,"['approved', 'lgtm', 'size/S']","{'goern': 13, 'harshad16': 20, 'sesheta': 65}",thoth-station/core,PullRequest,S,1528784711.0,1.0,[],"{'127606705': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1528721925, 'state': 'COMMENTED'}, '127778544': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1528753151, 'state': 'APPROVED'}}",['goern']
126,goern,1527173468,sesheta,1527173712.0,"['approved', 'size/XS']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1527173712.0,1.0,[],{},['fridex']
127,goern,1527142008,sesheta,1527142213.0,"['approved', 'size/S']","{'goern': 2, 'sesheta': 65}",thoth-station/core,PullRequest,S,1527142213.0,1.0,[],{},['fridex']
128,fridex,1527055831,fridex,1527055848.0,"['approved', 'size/XS']","{'fridex': 1, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1527055848.0,1.0,[],{},['goern']
129,fridex,1526969650,sesheta,1526970916.0,"['approved', 'lgtm']","{'goern': 16, 'sesheta': 65}",thoth-station/core,PullRequest,S,1526970916.0,1.0,[],{},['goern']
130,fridex,1526969639,sesheta,1526971215.0,"['approved', 'size/XS']","{'goern': 3, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1526971215.0,1.0,[],{},['goern']
131,fridex,1526892963,fridex,1526893607.0,['size/S'],"{'sesheta': 145, 'fridex': 2}",thoth-station/core,PullRequest,S,,1.0,[],{},['goern']
132,fridex,1526884504,sesheta,1526886907.0,"['approved', 'size/XS']","{'fridex': 3, 'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1526886907.0,1.0,[],{},['goern']
133,goern,1526533412,sesheta,1526533516.0,"['approved', 'size/L']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,L,1526533516.0,2.0,[],{},['fridex']
134,goern,1526458992,sesheta,1526459106.0,"['approved', 'size/XS']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1526459106.0,1.0,[],{},['fridex']
135,goern,1525350141,sesheta,1525350606.0,"['approved', 'component/bots', 'size/M']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,M,1525350606.0,1.0,[],{},['fridex']
136,goern,1525244973,sesheta,1525245306.0,"['approved', 'size/XS']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1525245306.0,1.0,[],{},['fridex']
137,goern,1525012524,sesheta,1525012811.0,"['approved', 'size/S']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,S,1525012811.0,1.0,[],{},['fridex']
138,goern,1524988471,sesheta,1524988512.0,"['approved', 'size/S']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,S,1524988512.0,1.0,[],{},['fridex']
139,goern,1524904009,sesheta,1524906907.0,"['approved', 'size/M']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,M,1524906907.0,1.0,[],{},['fridex']
140,goern,1524824273,sesheta,1524827113.0,"['approved', 'lgtm', 'size/M']","{'goern': 15, 'fridex': 2, 'sesheta': 68}",thoth-station/core,PullRequest,M,1524827113.0,1.0,[],"{'115920244': {'author': 'fridex', 'words_count': 3, 'submitted_at': 1524825270, 'state': 'APPROVED'}}",[]
141,goern,1524816163,sesheta,1524816614.0,"['approved', 'size/S']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,S,1524816614.0,1.0,[],{},['fridex']
142,goern,1524644782,sesheta,1524645006.0,"['approved', 'size/M']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,M,1524645006.0,2.0,[],{},[]
143,goern,1524590038,sesheta,1524590108.0,"['approved', 'size/XS']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,XS,1524590108.0,1.0,[],{},[]
144,fridex,1524491560,sesheta,1524493212.0,"['approved', 'size/S']","{'fridex': 3, 'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,S,1524493212.0,1.0,[],{},['goern']
145,fridex,1524491041,sesheta,1524493223.0,"['approved', 'size/S']","{'fridex': 3, 'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,S,1524493223.0,1.0,[],"{'114456415': {'author': 'goern', 'words_count': 1, 'submitted_at': 1524493178, 'state': 'COMMENTED'}}",[]
146,goern,1524490946,goern,1524804520.0,"['do-not-merge/work-in-progress', 'size/S']",{'sesheta': 91},thoth-station/core,PullRequest,S,,3.0,[],{},[]
147,goern,1524490486,sesheta,1524490817.0,"['approved', 'size/S']","{'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,S,1524490817.0,1.0,[],{},[]
148,fridex,1524490315,sesheta,1524490824.0,"['approved', 'size/M']","{'fridex': 3, 'goern': 1, 'sesheta': 65}",thoth-station/core,PullRequest,M,1524490824.0,5.0,[],{},['goern']
149,goern,1524485580,fridex,1524489602.0,"['approved', 'size/M']","{'goern': 3, 'sesheta': 68}",thoth-station/core,PullRequest,M,1524489602.0,1.0,[],"{'114431324': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1524489529, 'state': 'APPROVED'}}",[]
